Date,Q
Jan-2000,70.91145775
Feb-2000,74.40049506
Mar-2000,221.7187452
Apr-2000,411.9525517
May-2000,528.6713015
Jun-2000,782.5018542
Jul-2000,1070.219286
Aug-2000,782.6874227
Sep-2000,1016.620185
Oct-2000,1081.053018
Nov-2000,511.8161795
Dec-2000,93.44114076
Jan-2001,107.4351023
Feb-2001,65.52425129
Mar-2001,138.2356553
Apr-2001,219.5331781
May-2001,390.3279657
Jun-2001,576.1514143
Jul-2001,1127.213802
Aug-2001,910.645728
Sep-2001,835.5918122
Oct-2001,890.1627438
Nov-2001,352.3577522
Dec-2001,65.25616713
Jan-2002,46.82696285
Feb-2002,35.82029476
Mar-2002,49.79498456
Apr-2002,155.4900081
May-2002,437.1919596
Jun-2002,486.4991083
Jul-2002,587.4009203
Aug-2002,923.2253944
Sep-2002,941.2037896
Oct-2002,700.281833
Nov-2002,357.4772956
Dec-2002,151.4031358
Jan-2003,67.0244208
Feb-2003,51.59543899
Mar-2003,98.79657982
Apr-2003,205.3819244
May-2003,560.708388
Jun-2003,550.9168401
Jul-2003,896.906982
Aug-2003,1102.560956
Sep-2003,1059.869413
Oct-2003,1150.605489
Nov-2003,334.4539865
Dec-2003,65.94789554
Jan-2004,50.87765489
Feb-2004,41.20236287
Mar-2004,44.00910344
Apr-2004,117.8295648
May-2004,345.5568574
Jun-2004,831.2317824
Jul-2004,649.8127373
Aug-2004,1067.827925
Sep-2004,732.636737
Oct-2004,602.0625393
Nov-2004,97.45100712
Dec-2004,54.73857403
Jan-2005,40.05261909
Feb-2005,30.64603901
Mar-2005,36.61501838
Apr-2005,203.3146628
May-2005,220.3502145
Jun-2005,529.7952382
Jul-2005,857.817534
Aug-2005,1121.271476
Sep-2005,832.8852525
Oct-2005,892.0641345
Nov-2005,484.4275664
Dec-2005,157.7921703
Jan-2006,84.52356262
Feb-2006,64.85965695
Mar-2006,92.88870953
Apr-2006,269.5905052
May-2006,458.7140363
Jun-2006,615.9529272
Jul-2006,988.7436643
Aug-2006,1252.263292
Sep-2006,1044.697639
Oct-2006,1037.408802
Nov-2006,192.7917235
Dec-2006,69.97225206
Jan-2007,48.82793546
Feb-2007,40.40002351
Mar-2007,111.979433
Apr-2007,251.8766288
May-2007,637.9440599
Jun-2007,598.3530104
Jul-2007,1232.379241
Aug-2007,991.2085362
Sep-2007,799.3720608
Oct-2007,889.1470714
Nov-2007,346.1406442
Dec-2007,69.0210463
Jan-2008,48.98409207
Feb-2008,41.99815675
Mar-2008,75.3852474
Apr-2008,292.2250685
May-2008,711.8062422
Jun-2008,677.9262811
Jul-2008,532.8566168
Aug-2008,716.7303398
Sep-2008,1105.187905
Oct-2008,903.2502908
Nov-2008,645.7004437
Dec-2008,88.74595468
Jan-2009,57.52382619
Feb-2009,43.73698976
Mar-2009,121.7553246
Apr-2009,268.208274
May-2009,515.3781417
Jun-2009,624.3039253
Jul-2009,935.2590394
Aug-2009,869.7293024
Sep-2009,1109.241176
Oct-2009,1179.545396
Nov-2009,236.9355476
Dec-2009,60.4137899
Jan-2010,52.71619719
Feb-2010,41.25505417
Mar-2010,49.16717308
Apr-2010,104.4736274
May-2010,265.6370972
Jun-2010,423.6575208
Jul-2010,621.9718371
Aug-2010,765.499528
Sep-2010,694.2519259
Oct-2010,1046.234713
Nov-2010,409.0911447
Dec-2010,131.1638411
Jan-2011,58.83968863
Feb-2011,54.28428028
Mar-2011,166.7743002
Apr-2011,375.0176132
May-2011,613.8132927
Jun-2011,642.0608632
Jul-2011,510.8614278
Aug-2011,765.1980137
Sep-2011,1269.4319
Oct-2011,1025.810108
Nov-2011,207.8132152
Dec-2011,78.77866497
Jan-2012,83.05593258
Feb-2012,151.4844036
Mar-2012,156.9530636
Apr-2012,276.1391496
May-2012,450.1851077
Jun-2012,746.7836886
Jul-2012,623.3553233
Aug-2012,421.6325435
Sep-2012,899.0593358
Oct-2012,1032.010267
Nov-2012,446.8547835
Dec-2012,147.9399812
Jan-2013,61.81805619
Feb-2013,57.18324527
Mar-2013,72.42058063
Apr-2013,193.0584771
May-2013,476.1256717
Jun-2013,783.7829705
Jul-2013,978.0959513
Aug-2013,991.2946317
Sep-2013,865.1561404
Oct-2013,986.4003466
Nov-2013,346.5255377
Dec-2013,123.4326411
Jan-2014,55.37894254
Feb-2014,43.89862677
Mar-2014,37.15686386
Apr-2014,147.9615791
May-2014,236.5599617
Jun-2014,659.2160784
Jul-2014,861.1948486
Aug-2014,938.8171565
Sep-2014,898.2219883
Oct-2014,838.1047614
Nov-2014,535.2445737
Dec-2014,173.4086564
Jan-2015,61.34775854
Feb-2015,43.94120881
Mar-2015,41.85609392
Apr-2015,96.20968169
May-2015,264.3827174
Jun-2015,476.4391644
Jul-2015,715.4168193
Aug-2015,690.0417323
Sep-2015,1058.368947
Oct-2015,1010.584516
Nov-2015,403.6191773
Dec-2015,104.8298096
Jan-2016,57.76875828
Feb-2016,44.09914796
Mar-2016,33.71758428
Apr-2016,30.67247356
May-2016,189.1108258
Jun-2016,446.25962
Jul-2016,1058.378208
Aug-2016,828.0401205
Sep-2016,818.1486384
Oct-2016,1349.614911
Nov-2016,750.0794808
Dec-2016,186.3490986
Jan-2017,96.6680898
Feb-2017,61.4156549
Mar-2017,98.01935582
Apr-2017,304.1179559
May-2017,503.9674159
Jun-2017,659.1025687
Jul-2017,929.3132498
Aug-2017,1072.757173
Sep-2017,844.7112491
Oct-2017,1108.089078
Nov-2017,491.2899752
Dec-2017,153.7884398
Jan-2018,118.6761876
Feb-2018,144.690199
Mar-2018,147.1752283
Apr-2018,228.2713535
May-2018,451.003671
Jun-2018,849.2587062
Jul-2018,1034.80358
Aug-2018,1249.592746
Sep-2018,911.2001496
Oct-2018,935.978565
Nov-2018,282.2461382
Dec-2018,103.725436
Jan-2019,102.5984375