Year,Pre-monsoon,Monsoon,Post-monsoon
2000,236.0239307,876.9588447,225.3895927
2001,141.0976949,788.3489109,175.0163406
2002,80.36842913,679.3005009,185.2357981
2003,118.5913144,886.9280112,155.8087676
2004,67.6803437,704.854763,67.68907868
2005,90.19190672,742.3639749,227.4241186
2006,142.4462906,899.6300601,115.7625127
2007,134.7520284,858.06733,154.6632087
2008,136.5361575,774.6262793,261.1434968
2009,144.5668628,872.2428302,118.2910546
2010,64.96528487,636.2087703,197.657061
2011,198.6920646,804.5292676,115.1438563
2012,194.8588723,695.5043777,225.9502324
2013,107.554101,846.8092854,177.258745
2014,76.33902325,738.6857991,254.6773909
2015,60.66899481,702.5389827,189.9322485
2016,36.1630686,781.5920539,331.3991126
2017,154.5176555,852.9901225,247.2488349
2018,173.3789269,905.3062362,168.2159206